t,z
913.0,91.45882705691643
914.0,91.45882705691643
915.0,93.10473457855282
916.0,93.10473457855282
917.0,98.39005931319605
918.0,91.45882705691643
919.0,93.10473457855282
920.0,93.66566745505709
921.0,93.66566745505709
922.0,92.55001836231199
923.0,95.38682895832281
924.0,95.38682895832281
925.0,99.01197206452022
926.0,98.39005931319605
927.0,98.39005931319605
928.0,98.39005931319605
929.0,99.01197206452022
930.0,96.56734482779825
931.0,95.97370357313925
932.0,96.56734482779825
933.0,97.7754008313928
934.0,94.80660594432865
935.0,95.38682895832281
936.0,95.97370357313925
937.0,98.39005931319605
938.0,98.39005931319605
939.0,100.9225433161461
940.0,101.5747963289504
941.0,98.39005931319605
942.0,93.66566745505709
943.0,95.97370357313925
944.0,95.97370357313925
945.0,92.55001836231199
946.0,97.7754008313928
947.0,95.38682895832281
948.0,95.97370357313925
949.0,91.45882705691643
950.0,99.01197206452022
951.0,93.10473457855282
952.0,93.66566745505709
953.0,90.3912979962197
954.0,91.45882705691643
955.0,90.3912979962197
956.0,90.3912979962197
957.0,90.3912979962197
958.0,91.45882705691643
959.0,88.32421328852301
960.0,89.34666976983232
961.0,90.92215311230264
962.0,93.10473457855282
963.0,92.55001836231199
964.0,93.66566745505709
965.0,93.66566745505709
966.0,88.8327144137194
967.0,83.06721829085069
968.0,83.06721829085069
969.0,80.01351795789061
970.0,87.32323008722393
971.0,88.8327144137194
972.0,89.34666976983232
973.0,87.32323008722393
974.0,87.32323008722393
975.0,83.06721829085069
976.0,83.97947076673233
977.0,83.97947076673233
978.0,82.61791820656622
979.0,83.06721829085069
980.0,82.61791820656622
981.0,87.32323008722393
982.0,87.32323008722393
983.0,84.91039196335532
984.0,85.38303333627323
985.0,85.86056087198389
986.0,83.97947076673233
987.0,81.29651736461385
988.0,81.73263318664259
989.0,83.06721829085069
990.0,86.83058067641292
991.0,88.8327144137194
992.0,89.34666976983232
993.0,85.38303333627323
994.0,83.52104621396431
995.0,83.06721829085069
996.0,83.97947076673233
997.0,83.97947076673233
998.0,85.86056087198389
999.0,86.83058067641292
1000.0,87.32323008722393
1001.0,88.32421328852301
1002.0,86.3430507338441
1003.0,86.83058067641292
1004.0,87.32323008722393
1005.0,89.34666976983232
1006.0,87.32323008722393
1007.0,84.91039196335532
1008.0,85.38303333627323
1009.0,89.34666976983232
1010.0,89.34666976983232
1011.0,86.83058067641292
1012.0,86.83058067641292
1013.0,88.32421328852301
1014.0,91.45882705691643
1015.0,90.92215311230264
1016.0,91.45882705691643
1017.0,93.10473457855282
1018.0,91.45882705691643
1019.0,92.55001836231199
1020.0,93.66566745505709
1021.0,93.66566745505709
1022.0,92.00141602962864
1023.0,90.92215311230264
1024.0,90.3912979962197
1025.0,89.86616758391864
1026.0,91.45882705691643
1027.0,90.92215311230264
1028.0,91.45882705691643
1029.0,91.45882705691643
1030.0,88.32421328852301
1031.0,88.8327144137194
1032.0,89.34666976983232
1033.0,87.32323008722393
1034.0,86.83058067641292
1035.0,88.8327144137194
1036.0,88.8327144137194
1037.0,89.34666976983232
1038.0,85.38303333627323
1039.0,84.91039196335532
1040.0,85.38303333627323
1041.0,85.38303333627323
1042.0,87.32323008722393
1043.0,84.91039196335532
1044.0,85.86056087198389
1045.0,84.91039196335532
1046.0,82.61791820656622
1047.0,83.06721829085069
1048.0,82.61791820656622
1049.0,83.52104621396431
1050.0,83.52104621396431
1051.0,83.06721829085069
1052.0,83.52104621396431
1053.0,87.32323008722393
1054.0,83.52104621396431
1055.0,84.91039196335532
1056.0,85.86056087198389
1057.0,84.91039196335532
1058.0,84.91039196335532
1059.0,86.83058067641292
1060.0,87.32323008722393
1061.0,87.32323008722393
1062.0,87.32323008722393
1063.0,86.83058067641292
1064.0,87.32323008722393
1065.0,87.32323008722393
1066.0,87.82108002988049
1067.0,88.8327144137194
1068.0,88.32421328852301
1069.0,90.3912979962197
1070.0,90.92215311230264
1071.0,90.92215311230264
1072.0,91.45882705691643
1073.0,87.32323008722393
1074.0,89.34666976983232
1075.0,88.8327144137194
1076.0,89.34666976983232
1077.0,91.45882705691643
1078.0,89.34666976983232
1079.0,88.8327144137194
1080.0,88.8327144137194
1081.0,86.3430507338441
1082.0,88.8327144137194
1083.0,88.8327144137194
1084.0,89.34666976983232
1085.0,89.34666976983232
1086.0,87.32323008722393
1087.0,87.32323008722393
1088.0,87.82108002988049
1089.0,87.32323008722393
1090.0,84.44256214057893
1091.0,84.91039196335532
1092.0,84.44256214057893
1093.0,85.38303333627323
1094.0,84.91039196335532
1095.0,83.52104621396431
1096.0,81.73263318664259
1097.0,82.17307853612358
1098.0,81.73263318664259
1099.0,81.29651736461385
1100.0,81.73263318664259
1101.0,80.43702143600552
1102.0,79.5940972051214
1103.0,79.17870042250455
1104.0,77.95608301483652
1105.0,80.01351795789061
1106.0,78.35974933042611
1107.0,78.35974933042611
1108.0,78.35974933042611
1109.0,78.76726997687231
1110.0,78.76726997687231
1111.0,78.35974933042611
1112.0,77.55621660607466
1113.0,74.85918582853775
1114.0,75.99369675840886
1115.0,76.76767088833913
1116.0,75.6120483993012
1117.0,74.11992135423625
1118.0,74.11992135423625
1119.0,74.11992135423625
1120.0,72.68073919821755
1121.0,72.68073919821755
1122.0,72.68073919821755
1123.0,71.2917331025032
1124.0,72.32888752762722
1125.0,72.32888752762722
1126.0,71.98012958664762
1127.0,72.68073919821755
1128.0,75.6120483993012
1129.0,74.11992135423625
1130.0,74.11992135423625
1131.0,74.11992135423625
